title,heading,content,tokens
2020 Summer Olympics,Venues and infrastructure,"In February 2012, it was announced that Tokyo's former National Stadium, the central venue for the 1964 Summer Olympics, would undergo a ¥100 billion renovation for the 2019 Rugby World Cup and the 2020 Summer Olympics. In November 2012, the Japan Sport Council announced that it was taking bids for proposed stadium designs. Of the 46 finalists, Zaha Hadid Architects was awarded the project, which would replace the old stadium with a new 80,000-seat stadium. There was criticism of the Zaha Hadid design—which was compared to a bicycle helmet and regarded as clashing with the surrounding Meiji Shrine—and widespread disapproval of the costs, even with attempts to revise and ""optimize"" the design.In June 2015, the government announced plans to reduce the new stadium's permanent capacity to 65,000 in its athletics configuration (although with the option to add up to 15,000 temporary seats for football) as a further cost-saving measure. The original plan to build a retractable roof was also abandoned. At the end of 2015, as a result of public opposition to the increasing costs of the new stadium (which had reached ¥252 billion), the government chose to reject Zaha Hadid's design entirely and selected a new design by Japanese architect Kengo Kuma. Inspired by traditional temples and with a lower profile, Kuma's design had a budget of ¥149 billion. The changes meant the new stadium could not be completed in time for the 2019 Rugby World Cup as originally intended. The National Stadium, which was inaugurated on 21 December 2019, was named the Olympic Stadium for the duration of the Tokyo Games.In October 2018, the Board of Audit issued a report stating that the total cost of the Olympic venues could exceed US$25 billion.Of the 33 competition venues in Tokyo, 28 were within 8 kilometers (5 miles) of the Olympic Village, with eleven new venues to be constructed. On 16 October 2019, the IOC announced that there were plans to re-locate the marathon and racewalking events to Sapporo for heat concerns. The plans were made official on 1 November 2019 after Tokyo Governor Yuriko Koike accepted the IOC's decision, despite her belief that the events should have remained in Tokyo.",455
2020 Summer Olympics,Security,"In December 2018, the Japanese government chose to ban drones from flying over venues being used for the Olympic and Paralympic Games. A similar ban was also imposed for the 2019 Rugby World Cup, which Japan also hosted. In January 2020, counterterrorism drills began in different parts where the Games would take place, after intelligence data showed that terrorist groups could have carried out an attack seeking worldwide attention. In July 2021, prior to the start of the Games, the Japan Coast Guard conducted counterterrorism drills in the Tokyo Bay. The drill consisted of two inflatable boats trying to stop a suspicious ship from getting to shore.",124
2020 Summer Olympics,Volunteers,"Applications for volunteering at the 2020 Olympic and Paralympic Games were accepted beginning on 26 September 2018. By 18 January 2019, a total of 204,680 applications had been received by the Tokyo Organizing Committee. Interviews to select the requisite number of volunteers began in February 2019, with training scheduled to take place in October 2019. The volunteers at the venues were to be known as ""Field Cast"", and the volunteers in the city were to be known as ""City Cast"". These names were chosen from a shortlist of four from an original 150 pairs of names; the other three shortlisted names were ""Shining Blue"" and ""Shining Blue Tokyo"", ""Games Anchor"" and ""City Anchor"", and ""Games Force"" and ""City Force"". The names were chosen by the people who had applied to be volunteers at the Games.As of early June 2021, approximately 10,000 out of the 80,000 registered volunteers resigned from the Games. Media attributed the rise in pandemic cases as the reason for massive quitting. More volunteer assignments were expected to be cancelled due to the spectator ban.",225
2020 Summer Olympics,Medals,"In February 2017, the Tokyo Organizing Committee announced an electronics recycling program in partnership with Japan Environmental Sanitation Center and NTT Docomo, soliciting donations of electronics such as mobile phones to be reclaimed as materials for the medals. Aiming to collect eight tonnes of metals to produce the medals for the Olympic and Paralympic Games, collection boxes were deployed at public locations and NTT Docomo retail shops in April 2017. A design competition for the medals was launched in December of that year.In May 2018, the organizing committee reported that they had obtained half the required 2,700 kilograms of bronze but were struggling to obtain the required amount of silver; although bronze and silver medals purely utilize their respective materials, IOC requirements mandate that gold medals utilize silver as a base. The collection of bronze was completed in November 2018, with the remainder estimated to have been completed by March 2019.On 24 July 2019 (one year ahead of the originally scheduled opening ceremony), the designs of the medals were unveiled. The medals for the Olympic and Paralympic Games were designed by Junichi Kawanishi following a nationwide competition. A new feature shared with the Paralympic medals is that the ribbons contain one, two, or three silicone convex lines to distinguish gold, silver, and bronze medals, respectively.",263
2020 Summer Olympics,Torch relay,"The slogan of the 2020 Summer Olympics torch relay was ""Hope Lights Our Way"".As determined by a 2009 IOC ruling that banned international torch relays for any future Olympic Games, the 2020 Summer Olympics torch was scheduled to only visit the two countries of Greece and the host nation Japan. The first phase of the relay began on 12 March 2020, with the traditional flame lighting ceremony at the Temple of Hera in Olympia, Greece. The torch then travelled to Athens, where the Greek leg of the relay culminated in a handover ceremony at the Panathenaic Stadium on 19 March, during which the torch was transferred to the Japanese contingent. The flame was placed inside a special lantern and transported from Athens International Airport on a chartered flight to Higashimatsushima in Japan. The torch was then expected to begin the second phase of its journey on 20 March, as it traveled for one week around the three most affected areas of the 2011 Tōhoku earthquake and tsunami—Miyagi, Iwate and Fukushima—where it would go on display under the heading ""Flame of Recovery"". After leaving Naraha on 26 March, the torch would commence its main relay around Japan, incorporating all 47 prefectural capitals.After the decision to postpone the Games was made, the torch was placed again in a special lantern on display in the city of Fukushima for a month. After that, the lantern was transferred to the Tokyo prefecture, where it was kept safe until the restart of the relay in 2021. On 23 July 2020 (one year ahead of the rescheduled opening ceremony), a promotional video was released featuring Japanese swimmer Rikako Ikee carrying the lantern inside Japan National Stadium, drawing comparisons between emergence from the pandemic and her own return to sport after being diagnosed with leukemia. On 20 August 2020, it was announced that the torch relay would begin again in Naraha, Fukushima on 25 March 2021, nearly a year later than originally planned.The relay ended at Tokyo's National Stadium (Olympic Stadium) on 23 July, with tennis player Naomi Osaka lighting the Olympic cauldron at the finale of the opening ceremony. The cauldron lit in the Olympic Stadium was only used during the Opening and Closing ceremonies: a separate cauldron was lit on the Tokyo waterfront for public view at the Yume no Ohashi bridge in Odaiba, making it only the second time in olympic history where the cauldron was not displayed in the athletics stadium, the other time being in 2016.",504
2020 Summer Olympics,Biosecurity protocols,"In February 2021, the IOC began releasing ""playbooks"" containing details on planned COVID-19 biosecurity protocols for athletes, officials, the press, and other staff, including standard protocols such as practicing social distancing, hygiene, the wearing of face masks (outside of training and competition for athletes), and being restricted from visiting bars, restaurants, shops, and other tourist areas around Greater Tokyo Area, or using public transport unless otherwise permitted. Participants would be asked to use Japan's COCOA Exposure Notification app and would be tested at least every four days. Athletes who tested positive would be unable to compete and could be quarantined at a government facility (although leeway would be given in the event of false positives). Close contacts would also need to test negative in order to be cleared for competition. Athletes would be discouraged from ""excessive"" celebrations because the actions could spread infected droplets. The playbooks were criticized in a paper published by The New England Journal of Medicine in May 2021, for lacking ""scientifically rigorous risk assessment"" and failing to ""distinguish the various levels of risk faced by athletes"". The playbook stated that the athletes were required to arrive up to five days prior to the start of the competition and to leave within 48 hours of being eliminated from their sport or the conclusion of the competitions.The IOC recommended the vaccination of athletes against COVID-19 if vaccines were available to them, but this was not a prerequisite for participation and the IOC advised against athletes ""jumping the queue"" in order to obtain priority over essential populations. On 12 March 2021, Thomas Bach announced that in nations where they were approved for use, the Chinese Olympic Committee had offered to cover the costs of the Chinese CoronaVac and the Sinopharm BIBP vaccine for athletes competing in the 2020 Summer Olympics and 2022 Winter Olympics, and would purchase two doses for their nation's general public for each vaccinated athlete. On 6 May 2021, Pfizer announced that it would donate doses of its vaccine to NOCs competing in Tokyo.Approximately 93,000 athletes and officials were exempt from the quarantine rules upon arriving in Japan, provided that they remained in areas separated from the local population. With around 300,000 local staff and volunteers entering and exiting these bubbles, and 20,000 vaccine doses allocated for this group, this led to concerns of COVID-19 spreading both during the Games and when teams returned to their countries.Due to international travel restrictions, the organizing committee announced in March 2021 that no international guests (including spectators, and friends and family members of the athletes) would be allowed to attend the Games. As per existing guidance for spectator sports in Japan, spectators would be asked to refrain from cheering or shouting. On 19 June 2021, Governor Koike announced that plans for public viewing events for the Games had been scrapped, in order to use the planned venues (such as Yoyogi Park) as mass vaccination sites instead. On 21 June, it was announced that all venues would be capped at a maximum of 10,000 ticketed spectators or 50% capacity, whichever was lower.On 2 July 2021, the new TOCOG president Seiko Hashimoto warned that there was still a possibility of the Games being held behind closed doors because of rising COVID-19 cases in the country. Japan's slow vaccination rate had been of particular concern. A simulation run by the University of Tokyo in May 2021 projected that a new wave of infections could peak in mid-October if the Games went on after the existing state of emergency in Tokyo had expired.On 8 July 2021, after Tokyo had recorded 920 new COVID-19 cases (its highest increase since May), Prime Minister Suga declared a new state of emergency in the Tokyo area from 12 July through 22 August (ending only two days before the Paralympics' opening ceremony), and announced that all events at venues in the area would therefore be held behind closed doors with no spectators permitted. Hashimoto stated that ""it is extremely regrettable that the Games will be staged in a very limited manner in the face of the spread of novel coronavirus infections."" IOC President Thomas Bach stated that ""we will support any measure which is necessary to have a safe and secure Olympic and Paralympic Games for the Japanese people and all the participants.""The announcement stated that spectators would still be allowed at events being held outside of Tokyo, subject to the approval by local health authorities and the aforementioned 50%/10,000-spectator limit. The prefectures of Fukushima, Hokkaido and Ibaraki announced that they would prohibit spectators at events held in the areas. The opening ceremony was expected to be limited to fewer than 1,000 VIP guests, including IOC representatives and dignitaries, while some events did allow members of other competing delegations to occupy spectator seats as well. School students were invited to watch football matches in Ibaraki.On 16 July, it was reported that Bach had asked Prime Minister Suga about the possibility that restrictions on spectators could be eased later on if COVID-19 conditions were to improve in Tokyo. However, on 2 August, Suga announced that all existing state of emergency declarations would be extended through 31 August, and be extended to Chiba, Kanagawa, Saitama, and parts of Osaka.",1076
2020 Summer Olympics,Ticketing,"The opening ceremony tickets were expected to range from ¥12,000 to ¥300,000, with a maximum price of ¥130,000 for the finals of the athletics track and field events. The average ticket price was ¥7,700, with half the tickets being sold for up to ¥8,000. A symbolic ticket price of ¥2,020 was expected for families, groups resident in Japan, and in conjunction with a school program. Tickets would be sold through 40,000 shops in Japan and by mail order to Japanese addresses through the internet. International guests, had they been allowed, would have needed to visit Japan during the sales period, or arrange to buy tickets through a third party such as a travel agent.Tickets went on general sale in Japan in the autumn of 2019 and were expected to be sold globally from June 2020; however, this plan was suspended when the Games were postponed on 24 March 2020. The Tokyo Organizing Committee confirmed that tickets already purchased would remain valid for the same sessions according to the new schedule and that refunds were also being offered.On 20 March 2021, it was announced that due to COVID-19-related concerns, no international guests would be allowed to attend the 2020 Olympics or Paralympics. This included both spectators, as well as the friends and family of athletes. All overseas ticketholders would be refunded. Hashimoto cited uncertainties surrounding international travel restrictions, and goals to preserve the safety of all participants and spectators, and not place a burden on the health care system. It was ultimately announced in July that all local spectators were not allowed to attend any events held in Tokyo, Fukushima and Hokkaido.",338
2020 Summer Olympics,Cultural festival,"A cultural program known as Nippon Festival was scheduled to coincide with the Olympics and Paralympics, running from April to September 2021 as a series of streaming events held by the Tokyo Organizing Committee and other partners. The events reflected the themes of ""Participation and Interaction"", ""Towards the Realisation of an Inclusive Society"" and ""Reconstruction of the Tohoku Region"". The program was either downsized or reformatted to virtual format due to the COVID-19 pandemic and the postponement of the Games. One of these events was a concert held on 18 July, which featured J-rock band Wanima, choreography by dancers Aio Yamada and Tuki Takamura, and the presentation of animated ""creatures"" based on illustrations ""embodying the thoughts and emotions of people from across the world"".The original plans for Nippon Festival included events such as Kabuki x Opera (a concert that would have featured stage actor Ichikawa Ebizō XI, opera singers Anna Pirozzi and Erwin Schrott, and the Tokyo Philharmonic Orchestra), an arts and culture festival focusing on disabilities, and a special two-day exhibition sumo tournament at the Ryōgoku Kokugikan shortly after the Olympics—which would have differed significantly from the traditional bi-monthly Honbasho tournaments, and featured special commentary in English and Japanese to help explain to spectators the customs and traditions of professional sumo, which are deeply rooted in the Shinto religion.",310
2020 Summer Olympics,Opening ceremony,"The opening ceremony was held on 23 July 2021 in the Olympic Stadium in Tokyo. It included the traditional Parade of Nations. Emperor Naruhito formally opened the Games, and at the end of the torch relay the Olympic cauldron was lit by Japanese tennis player Naomi Osaka.For the first time in the 2020 Olympic Games, it was decided that one male and one female in each country would take turns holding flags and serve as two of them. 
This was done by embodying the ""Agenda 2020"" set during President Bach's term.For the first time in the history of the games, a moment of silence was observed in the opening ceremony for the victims of the Munich massacre.",141
2020 Summer Olympics,Sports,"The event program for the 2020 Summer Olympics was approved by the IOC executive board on 9 June 2017. IOC president Thomas Bach stated that their goal was to give the Games ""youthful"" and ""urban"" appeal, and to increase the number of female participants.The Games featured 339 events in 33 different sports, encompassing a total of 50 disciplines. Karate, sport climbing, surfing, and skateboarding made their Olympic debut, while baseball and softball also made a one-off return to the Summer Olympics for the first time since 2008. 15 new events within existing sports were also added, including 3×3 basketball, freestyle BMX, and the return of madison cycling, as well as 9 new mixed events in several sports (table tennis, archery, judo, shooting (3), triathlon, 4 × 400 m relay running and 4 × 100 m medley swimming).In the list below, the number of events in each discipline is noted in parentheses.",201
